,id,stationName,x,y,geometry
1171,SN27075,E18 Grelland,10.2078,59.511,POINT (10.2078 59.511)
1172,SN99370,Kirkenes lufthavn,29.9057,69.7287,POINT (29.9057 69.7287)
1173,SN25200,Gol-Botnen,8.895581,60.689502,POINT (8.895581 60.689502)
1174,SN257400,Norrköping,16.1469444444444,58.5827777777778,POINT (16.1469444444444 58.5827777777778)
1175,SN84710,Stasjonsveien,17.4667,68.45,POINT (17.4667 68.45)
1176,SN30350,Jønnevall ,9.5667,59.2695,POINT (9.5667 59.2695)
1177,SN91726,Langfjorden ,20.56,70.0618,POINT (20.56 70.0618)
1178,SN80610,Myken,12.486,66.7628,POINT (12.486 66.7628)
1179,SN44552,Tananger,5.6012,58.9319,POINT (5.6012 58.9319)
1181,SN72580,Namsos LH,11.5705,64.4708,POINT (11.5705 64.4708)
1182,SN91080,Ytre Holmebukt,19.713,69.5,POINT (19.713 69.5)
1183,SN17251,Moss,10.6835995,59.4425417,POINT (10.6835995 59.4425417)
1184,SN84701,Narvik,17.4212,68.4372,POINT (17.4212 68.4372)
1185,SN496228005,Hamang-Bærum-5,10.5124,59.9011,POINT (10.5124 59.9011)
1186,SN1628000,,12.9569444444444,40.9119444444444,POINT (12.9569444444444 40.9119444444444)
1187,SN30242,Fv301 Berg kirke,9.92317,58.99283,POINT (9.92317 58.99283)
1188,SN77425,Majavatn,13.3667,65.1662,POINT (13.3667 65.1662)
1189,SN91502,Jettanii,20.4108,69.5543,POINT (20.4108 69.5543)
1190,SN51990,Vetlebotn,6.4733,60.8655,POINT (6.4733 60.8655)
1191,SN88200,Laukhella,17.9013,69.2348,POINT (17.9013 69.2348)
1192,SN15905,Rv15 Grotli,7.6209823,62.0151279,POINT (7.6209823 62.0151279)
1193,SN8970,Einunna,10.3418,62.2317,POINT (10.3418 62.2317)
1194,SN4825,Fv170 Kompveien,11.3015,59.942,POINT (11.3015 59.942)
1195,SN17780,Blekslitjern,10.6308,59.8095,POINT (10.6308 59.8095)
1196,SN56960,Haukedalen,6.3758,61.4202,POINT (6.3758 61.4202)
1197,SN45530,Liarvatn,6.1212,59.0512,POINT (6.1212 59.0512)
1198,SN11500,Apelsvoll,10.8695,60.7002,POINT (10.8695 60.7002)
1199,SN30000,Larvik,10.0667,59.0572,POINT (10.0667 59.0572)
1200,SN645100,,4.52722222222222,50.8963888888889,POINT (4.52722222222222 50.8963888888889)
1201,SN42650,Flekkefjord,6.6498,58.2839873,POINT (6.6498 58.2839873)
1202,SN73630,E6 Fjerdingen,12.6053,64.6237,POINT (12.6053 64.6237)
1203,SN256700,Landsort,17.8719444444444,58.7436111111111,POINT (17.8719444444444 58.7436111111111)
1204,SN80000,Fv810 Bustneslia,13.9015,66.27883,POINT (13.9015 66.27883)
1205,SN288900,,28.7466666666667,64.9313888888889,POINT (28.7466666666667 64.9313888888889)
1206,SN2686300,,30.0961111111111,53.9555555555556,POINT (30.0961111111111 53.9555555555556)
1207,SN30278,Klyve ,9.6177,59.1465,POINT (9.6177 59.1465)
1208,SN1702200,,31.7780555555556,41.4491666666667,POINT (31.7780555555556 41.4491666666667)
